Vessel name,IMO Number,Flag,MMSI,Callsign,National registration number,Crime Report Links,Crime report links
DON JACINTO,,,,,P-04-01089,"https://goo.su/Fqq85, https://goo.su/fzGY","https://goo.su/Fqq85, https://goo.su/fzGY"
BRIANA BETANIA,,,,,P-04-01090,,
RAYSA II,,,,,P-04-01093,,
PEDRO MANUEL,,,,,P-04-01103,,
CON LA BENDICION DE DIOS I,,Ecuador,,HC6691,P-04-01105,,
DIOS ES MI GUIA,,,,,P-04-01106,,
DANNA ISABELLA II,,Ecuador,,HC6695,P-04-01107,,
LILOTT,,,,,P-04-01109,,
YOHANA,,,,,P-04-08333,https://goo.su/ImFzY,https://goo.su/ImFzY
VOLUNTAD DE DIOS,,,,,P-06-00316,,
MARCILLO IV,,,,,P-06-00697,,
MARIA MONSERRATE I,,,,,P-06-00700,,
DON TEMO,,,,,P-06-05481,,
MARCILLO III,,,,,P-06-05748,,
DANIEL SANTOS 1,,,,,P-06-06513,,
DOÑA PATTY,,,,,P-06-06738,,
DOÑA MATY,,,,,P-06-06929,,
JOSEMED I,,,,,P-06-06963,,
DON FAUTINO,,,,,P-06-07010,,
YENYA,,Ecuador,,HC4463,P-06-07012,,
NARCISO MARCILLO I,,,,,P-06-07301,,
VB III,,,,,P-06-07491,,
SAN CARLOS,,,,,P-06-08456,"https://goo.su/pxrc, https://goo.su/qJqDXn, https://goo.su/KtCnwdA, https://goo.su/v0L3, https://goo.su/xLPUFZ, https://goo.su/4WdOJAm, https://goo.su/qw1pDmw, https://goo.su/nvODdkE, https://goo.su/1fTsS, https://goo.su/g8alBM, https://goo.su/nCH2q4, https://goo.su/YHmjob, https://goo.su/8ih5Z, https://goo.su/O3rDXOa, https://goo.su/DFyoza, https://goo.su/g8alBM, https://goo.su/1fTsS, https://goo.su/KAAPM2, https://goo.su/qNkVh, https://goo.su/s8Zx84d, https://goo.su/Kgnp4Fz","https://goo.su/pxrc, https://goo.su/qJqDXn, https://goo.su/KtCnwdA, https://goo.su/v0L3, https://goo.su/xLPUFZ, https://goo.su/4WdOJAm, https://goo.su/qw1pDmw, https://goo.su/nvODdkE, https://goo.su/1fTsS, https://goo.su/g8alBM, https://goo.su/nCH2q4, https://goo.su/YHmjob, https://goo.su/8ih5Z, https://goo.su/O3rDXOa, https://goo.su/DFyoza, https://goo.su/g8alBM, https://goo.su/1fTsS, https://goo.su/KAAPM2, https://goo.su/qNkVh, https://goo.su/s8Zx84d, https://goo.su/Kgnp4Fz"
DIOS ES PURO,,,,,P-06-08647,,
ALBERTO 1,,,,,P-06-08699,,
BISMARK G,,,,,P-06-08707,,
DANIELA,7107716.0,,,WDJ4303,P-06-08762,"https://goo.su/lAPo, https://goo.su/XVQ9, https://goo.su/zrwQzgW, https://goo.su/c0qaU, https://goo.su/QSkMWjr, https://goo.su/xi85QL, https://goo.su/zJlH4L, https://goo.su/1RCHg, https://goo.su/qp09AF, https://goo.su/6vl7z, https://goo.su/VrVSz, https://goo.su/SrLxd, https://goo.su/QuhNB7A, https://goo.su/medKp, https://goo.su/ikMvi3w, https://goo.su/pbU8NA","https://goo.su/lAPo, https://goo.su/XVQ9, https://goo.su/zrwQzgW, https://goo.su/c0qaU, https://goo.su/QSkMWjr, https://goo.su/xi85QL, https://goo.su/zJlH4L, https://goo.su/1RCHg, https://goo.su/qp09AF, https://goo.su/6vl7z, https://goo.su/VrVSz, https://goo.su/SrLxd, https://goo.su/QuhNB7A, https://goo.su/medKp, https://goo.su/ikMvi3w, https://goo.su/pbU8NA"
ISABELA,,,,,P-06-08764,"https://goo.su/KrjhC, https://goo.su/JZUSt, https://goo.su/1Vk1u5, https://goo.su/BHvmAw, https://goo.su/WdzAdi, https://goo.su/1opmZU6, https://goo.su/tZYGOeu, https://goo.su/cXXLz, https://goo.su/rKdV, https://goo.su/cGHDwE6, https://goo.su/jFzh, https://goo.su/TnIWOd, https://goo.su/JZ97vg, https://goo.su/pgf6lTp, https://goo.su/xmGpg","https://goo.su/KrjhC, https://goo.su/JZUSt, https://goo.su/1Vk1u5, https://goo.su/BHvmAw, https://goo.su/WdzAdi, https://goo.su/1opmZU6, https://goo.su/tZYGOeu, https://goo.su/cXXLz, https://goo.su/rKdV, https://goo.su/cGHDwE6, https://goo.su/jFzh, https://goo.su/TnIWOd, https://goo.su/JZ97vg, https://goo.su/pgf6lTp, https://goo.su/xmGpg"
FRANCIA I,,,,,P-06-08870,,
DON MARCILLO,,,,,P-06-08926,,
