Vessel name,IMO Number,Flag,MMSI,Callsign,National registration number,Crime Report Links,Crime report links
POSEIDON,1036977.0,,,ZS6647,P-04-00397,"https://goo.su/q04z4t, https://goo.su/8grS3H","https://goo.su/q04z4t, https://goo.su/8grS3H"
EL AVENTURERO I,,,,,P-04-00404,,
GUILLERMINA,,Ecuador,,,P-00-00920,,
ALESSIA,,Ecuador,,,P-00-00935,,
LADI MAR I,,Ecuador,,,P-04-00411,,
DON ISAIAS I,,Ecuador,,HC2399,P-04-00417,,
DON LOBA,,,,,P-04-00418,,
DON ABRAHAM II,,,,,P-04-00423,,
STEFANIA I,,,,,P-04-00427,,
JOTA JOTA,,Ecuador,,,P-04-00430,,
ANITA JAZMIN,,,,,P-04-00437,,
JOSCRIS,,,,,P-04-00439,,
VOLGA III,,,,,P-04-00460,,
BALTIRIS,,,,,P-04-00463,,
MARLYN,,,,,P-04-00464,,
DANNA,,,,,P-04-00465,,
NIÑO JEFFREN,,,,,P-04-00467,,
SIEMPRE FRANKLIN,,,,,P-04-00482,,
JESÚS MAR,,,,,P-04-00487,,
LOS TRES HERMANOS,,Ecuador,,,P-04-00492,,
REYMAR,,Ecuador,,HC2799,P-04-00493,,
MARCILLO II,,,,,P-04-00498,,
ARIANA MELINA,,Ecuador,,HC4037,P-04-00513,,
MELINA C,,Ecuador,,,P-00-00933,,
DOÑA BERTHA,,Ecuador,,,P-04-01029,,
JUNIOR I,,,,,P-04-00529,,
RONALD,,,,,P-04-00530,"https://goo.su/bRcL, https://goo.su/jnz0, https://goo.su/9x967Q, https://goo.su/NIHWU, https://goo.su/mNWbOS","https://goo.su/bRcL, https://goo.su/jnz0, https://goo.su/9x967Q, https://goo.su/NIHWU, https://goo.su/mNWbOS"
MARIUXI,,,,,P-04-00540,,
ODALIS,,,,,P-04-00550,,
VALENTINA I,,Spain,,,P-04-00553,,
SALVADOR III,,,,,P-04-00556,,
PILIMAN,,Ecuador,,,P-04-00561,,
LA NEGRA FCA. DUARTE II,,,,,P-04-00562,,
DON FRANCISCO I,,,,,P-04-00564,,
J. JPEPITO,,,,,P-04-00566,,
EL SAGA,,,,,P-04-00567,,
BANDERON I,,,,,P-04-00570,,
DON FERNANDO,,,,,P-04-00574,,
FAUSTO IV,,Ecuador,,,P-00-00739,,
VIOLETA ANAHI,,Ecuador,,,P-00-00826,,
MILAGROS,,,,,P-04-00577,"https://goo.su/q2xGsb, https://goo.su/KTnbpoQ, https://goo.su/wCMQVxt, https://goo.su/FgAP9, https://goo.su/Y4j6t, https://goo.su/efQLC, https://goo.su/gYqW1l, https://goo.su/KTnbpoQ, https://goo.su/XW7cH, https://goo.su/WyxSA1","https://goo.su/q2xGsb, https://goo.su/KTnbpoQ, https://goo.su/wCMQVxt, https://goo.su/FgAP9, https://goo.su/Y4j6t, https://goo.su/efQLC, https://goo.su/gYqW1l, https://goo.su/KTnbpoQ, https://goo.su/XW7cH, https://goo.su/WyxSA1"
LA AHIJADA,,Ecuador,,,P-04-00578,,
ARCA DE NOE III,,Ecuador,,HC4100,P-04-00583,,
MERY MONSERRAT,,,,,P-04-00585,,
"LA NEGRA FRANCISCA DUARTE
",,Ecuador,,HC4152,P-04-00595,,
KAYAPA,,,,,P-04-00609,,
SOFIA R.,,,,,P-04-00616,,
JUAN CARLOS,,,,,P-04-00624,"https://goo.su/XVQ9, https://goo.su/KxIjp, https://goo.su/hlYL6KQ, https://goo.su/KkxI, https://goo.su/G8FKcnv, https://goo.su/wgAG5, https://goo.su/RiQhB, https://goo.su/uzDhJcB, https://goo.su/zHZk, https://goo.su/4t3Qq0E, https://goo.su/vr4ZmDz, https://goo.su/cVWQ, https://goo.su/SX7U9M, https://goo.su/pbU8NA","https://goo.su/XVQ9, https://goo.su/KxIjp, https://goo.su/hlYL6KQ, https://goo.su/KkxI, https://goo.su/G8FKcnv, https://goo.su/wgAG5, https://goo.su/RiQhB, https://goo.su/uzDhJcB, https://goo.su/zHZk, https://goo.su/4t3Qq0E, https://goo.su/vr4ZmDz, https://goo.su/cVWQ, https://goo.su/SX7U9M, https://goo.su/pbU8NA"
SOFIA,,,,SW3854,P-04-00626,"https://goo.su/CUPCXMv, https://goo.su/LeGkrZ, https://goo.su/tZYGOeu, https://goo.su/EOAzW, https://goo.su/KAAPM2","https://goo.su/CUPCXMv, https://goo.su/LeGkrZ, https://goo.su/tZYGOeu, https://goo.su/EOAzW, https://goo.su/KAAPM2"
SIEMPE COYAGO,,,,,P-04-00634,,
GIUSSEPPI,,,,,P-04-00638,,
GENMARY,,Ecuador,,HC4329,P-04-00640,,
P REY SALOMON,,,,,P-04-00641,,
BELIE BELCAN,,,,,P-04-00644,,
FABIAN,,,,,P-04-00645,"https://goo.su/q9ifBR, https://goo.su/okOG, https://goo.su/YK6Dl, https://goo.su/DUse, https://goo.su/kPvzoBp, https://goo.su/qlUQ, https://goo.su/kPvzoBp","https://goo.su/q9ifBR, https://goo.su/okOG, https://goo.su/YK6Dl, https://goo.su/DUse, https://goo.su/kPvzoBp, https://goo.su/qlUQ, https://goo.su/kPvzoBp"
DOÑA BLANCA I,,Ecuador,,HC4374,P-04-00648,,
JUNIOR C,,,,,P-04-00656,,
VOLGA,,,,,P-04-00660,,
JOSE EDUARDO,,,,,P-04-00663,,
MARIA TATIANA I,,Ecuador,,HC4366,P-04-00666,,
JOSELITO,8212415.0,Ecuador,,HC5759,P-04-00668,,
SAN LUIS III,,Ecuador,,HC5621,P-04-00671,,
FER MARY II,,Ecuador,,,P-04-00673,,
MARYALEX,,Ecuador,,HC4369,P-04-00674,,
ANTONELLA,,,247149320.0,IXPV,P-04-00675,"https://goo.su/tZYGOeu, https://goo.su/AJ7M","https://goo.su/tZYGOeu, https://goo.su/AJ7M"
PAOLA,,,247127450.0,IIQW2,P-04-00677,"https://goo.su/jML7Od, https://goo.su/UjoUzB4, https://goo.su/GE1oYJX, https://goo.su/GNUPPAb, https://goo.su/AER8l4U, https://goo.su/nC7wqMG","https://goo.su/jML7Od, https://goo.su/UjoUzB4, https://goo.su/GE1oYJX, https://goo.su/GNUPPAb, https://goo.su/AER8l4U, https://goo.su/nC7wqMG"
ARCA DE NOE IV,,Ecuador,,HC4361,P-04-00679,,
DOÑA CECI,,Ecuador,,HC4430,P-04-00682,,
DOÑA CARMEN,,,,CB6495,P-04-00685,,
DON PEPE,,,,CB4596,P-04-00687,,
DON NICO III,,,,,P-04-00688,,
IMELDAMAR,,,,,P-04-00690,,
DON ROSENDO II,,,,,P-04-00691,,
MARIA TATIANA II,,Ecuador,,,P-04-00696,,
D MERO,,,,,P-04-00704,,
SIRIUS,,,,UHVP,P-04-00706,"https://goo.su/LeGkrZ, https://goo.su/ptUWEE","https://goo.su/LeGkrZ, https://goo.su/ptUWEE"
