Vessel name,IMO Number,Flag,MMSI,Callsign,Crime Report Links,Crime report links
Consuelito,,,,,,
Coyi I,,,,,,
Coyi II,,,,,,
Don Geramn Csa,,,,,,
Don Jose I,,,,,,
Don Mario I,,,,,,
Elvas,,,,,,
Eperva 56,,,,,,
Fernanda I,,,,,,
Gracias A Dios I,,,,,,
Gringo Pablo II,,,,,,
Isidora I,,,,,,
Karen Pamela,,,,,,
Kaweskar,,,,,,
Kimba I,,,,,,
Lobo Afuera IV,,,,,,
Lobo Afuera VII,,,,,,
Loreto V,,,,,,
M. Rodolfo,,,,,,
Mar Mediterraneo,,,,,,
Nina Ximena,,,,,,
Odisseo II,,,,,,
Pellicano II,,,,,,
Petrohue I,,,,,,
Petrohue II,,,,,,
Petrohue III,,,,,,
Punta Verde,,,,,,
Ragnar,,,,,,
Renata,,,,,https://goo.su/HzWGc,https://goo.su/HzWGc
Rina F Y M,,,,,,
Santa Margarita I,,,,,,
Sebastian Alejandro,,,,,,
Shalom II,,,,,,
Tuareg I,,,,,,
Abraham,,,,,"https://goo.su/i6qR, https://goo.su/uzYIu, https://goo.su/vkiBgt, https://goo.su/agkN6b, https://goo.su/EM5Up","https://goo.su/i6qR, https://goo.su/uzYIu, https://goo.su/vkiBgt, https://goo.su/agkN6b, https://goo.su/EM5Up"
CAZADOR,9151046.0,,,cb8503,https://goo.su/RzSb,https://goo.su/RzSb
RUTH,9244166.0,,,CA7557,"https://goo.su/CgUYWb, https://goo.su/aL36Vh, https://goo.su/p5YGXf, https://goo.su/lnyVBc, https://goo.su/QfpA, https://goo.su/iOkUexI","https://goo.su/CgUYWb, https://goo.su/aL36Vh, https://goo.su/p5YGXf, https://goo.su/lnyVBc, https://goo.su/QfpA, https://goo.su/iOkUexI"
ALF,9251913.0,,,CA 9252,https://goo.su/zVY51n,https://goo.su/zVY51n
DON MANUEL,9141560.0,,,cb5989,,
SANTA MARIA II,9141584.0,,,cb4122,,
Antarctic Endeavour,8717453.0,,,CA5744,,
DON JULIO,9114335.0,,,cbdj,,
LIDER,9169237.0,,,cb5938,"https://goo.su/lFDI7, https://goo.su/QfpA","https://goo.su/lFDI7, https://goo.su/QfpA"
LONCO,9165138.0,,,cbln,,
SAN JOSÉ,,,,,"https://goo.su/M5Uwy, https://goo.su/gnsKyf, https://goo.su/lCIU, https://goo.su/xUp03Y, https://goo.su/pqM6qoO, https://goo.su/O4AAwV, https://goo.su/0Sh6vo3, https://goo.su/fAW4, https://goo.su/ynVF, https://goo.su/DzatUL, https://goo.su/c0qaU, https://goo.su/UQJkOC, https://goo.su/6jcu2, https://goo.su/7qOU2Yf, https://goo.su/Tihg, https://goo.su/OCmg, https://goo.su/r1joM, https://goo.su/MPX5, https://goo.su/lobe6, https://goo.su/zyMKxCd, https://goo.su/GJqG, https://goo.su/ZDoZEUA, https://goo.su/v8Rx, https://goo.su/t4K6, https://goo.su/lvp9k, https://goo.su/21l9GEC, https://goo.su/tzIHk5n, https://goo.su/Qowai, https://goo.su/kHbgb, https://goo.su/UfBw, https://goo.su/KU6lFn, https://goo.su/XAa8Y, https://goo.su/kwpYMZ, https://goo.su/P5RzPCg, https://goo.su/U9nZH, https://goo.su/Cdnbmd, https://goo.su/AEa1zy, https://goo.su/G6txol, https://goo.su/zXW0, https://goo.su/pFCWny, https://goo.su/RspfM90, https://goo.su/gYUO62v, https://goo.su/HlHq9o, https://goo.su/BuyIy, https://goo.su/3AWOBOL","https://goo.su/M5Uwy, https://goo.su/gnsKyf, https://goo.su/lCIU, https://goo.su/xUp03Y, https://goo.su/pqM6qoO, https://goo.su/O4AAwV, https://goo.su/0Sh6vo3, https://goo.su/fAW4, https://goo.su/ynVF, https://goo.su/DzatUL, https://goo.su/c0qaU, https://goo.su/UQJkOC, https://goo.su/6jcu2, https://goo.su/7qOU2Yf, https://goo.su/Tihg, https://goo.su/OCmg, https://goo.su/r1joM, https://goo.su/MPX5, https://goo.su/lobe6, https://goo.su/zyMKxCd, https://goo.su/GJqG, https://goo.su/ZDoZEUA, https://goo.su/v8Rx, https://goo.su/t4K6, https://goo.su/lvp9k, https://goo.su/21l9GEC, https://goo.su/tzIHk5n, https://goo.su/Qowai, https://goo.su/kHbgb, https://goo.su/UfBw, https://goo.su/KU6lFn, https://goo.su/XAa8Y, https://goo.su/kwpYMZ, https://goo.su/P5RzPCg, https://goo.su/U9nZH, https://goo.su/Cdnbmd, https://goo.su/AEa1zy, https://goo.su/G6txol, https://goo.su/zXW0, https://goo.su/pFCWny, https://goo.su/RspfM90, https://goo.su/gYUO62v, https://goo.su/HlHq9o, https://goo.su/BuyIy, https://goo.su/3AWOBOL"
VENTISQUERO,9143324.0,,,cbvt,,
Vesterveg,9163013.0,,,cbvg,,
Sebastian I,,,,,,
El Bucanero I,,,,,,
Don Coquera II,,,,,,
El Bellaco,,,,,,
Don Manuel R,,,,,,
Don Mati I,,,,,,
Don Arnaldo,,,,,,
Tata Conco,,,,,,
La Victoria,,,,,"https://goo.su/lo8j, https://goo.su/sORH, https://goo.su/jXKuaP3, https://goo.su/x3UFY, https://goo.su/blCYX, https://goo.su/5DRn9LI, https://goo.su/OX8951A, https://goo.su/NPB1x, https://goo.su/qychF, https://goo.su/tDAFGt, https://goo.su/59xxL0, https://goo.su/ZsdL, https://goo.su/QmdEP, https://goo.su/486qa, https://goo.su/2EBYj, https://goo.su/JcKb, https://goo.su/WEamnRa, https://goo.su/EOAzW, https://goo.su/ZsdL, https://goo.su/ReFCFh3, https://goo.su/aJE7rL4, https://goo.su/AeQ2YKk, https://goo.su/Amx0u3, https://goo.su/FUImv, https://goo.su/YxVxD, https://goo.su/EideL","https://goo.su/lo8j, https://goo.su/sORH, https://goo.su/jXKuaP3, https://goo.su/x3UFY, https://goo.su/blCYX, https://goo.su/5DRn9LI, https://goo.su/OX8951A, https://goo.su/NPB1x, https://goo.su/qychF, https://goo.su/tDAFGt, https://goo.su/59xxL0, https://goo.su/ZsdL, https://goo.su/QmdEP, https://goo.su/486qa, https://goo.su/2EBYj, https://goo.su/JcKb, https://goo.su/WEamnRa, https://goo.su/EOAzW, https://goo.su/ZsdL, https://goo.su/ReFCFh3, https://goo.su/aJE7rL4, https://goo.su/AeQ2YKk, https://goo.su/Amx0u3, https://goo.su/FUImv, https://goo.su/YxVxD, https://goo.su/EideL"
Chango,,,,,,
Valentin,,,,,,
Master Segundo,,,,,,
Canopus III,,,,,,
Don Lolo,,,,,,
Don Aldo,,,,,,
Don Mañe,,,,,,
Don Milo,,,,,,
Dario Abraham I,,,,,,
Atenea II,,,,,,
Bio Bio,,,,,"https://goo.su/U5DU8zp, https://goo.su/TO7vB, https://goo.su/VrVSz, https://goo.su/xsQD, https://goo.su/aT1mQ","https://goo.su/U5DU8zp, https://goo.su/TO7vB, https://goo.su/VrVSz, https://goo.su/xsQD, https://goo.su/aT1mQ"
Don Armando,,,,,,
Delfin 2000,,,,,,
Herminia I,,,,,,
Don Emilio,,,,,,
Sofia Agustina,,,,,,
El Bellaco I,,,,,,
Carmen Loreto,,,,,,
Green Peace,,,,,,
Lorena I,,,,,,
Santa Norma,,,,,,
Doña Bernarda,,,,,,
Don Victorino,,,,,,
Maria Soledad II,,,,,,
Ovnis,,,,,,
Garota III,,,,,,
Doña Margarita C,,,,,,
Don Bruno,,,,,,
Sergio III,,,,,,
Sta Veronica II,,,,,,
Centauro,,,,,,
Don Kevin,,,,,,
Pa.Ke.Te Pikay,,,,,,
Doña Adriana,,,,,,
Aida Rosa,,,,,,
Doña Jova 2da,,,,,,
Don Matias J I,,,,,,
Don Ernesto I,,,,,,
Doña Coca,,,,,,
Kiwi,,,,,,
Kalejo,,,,,,
Los Arias,,,,,,
Carlos Emilio,,,,,,
Tamarugal,,,,,,
Apolo,,,,,"https://goo.su/DOz8bl, https://goo.su/c6SpcbO, https://goo.su/gAUO, https://goo.su/ec7UUcg","https://goo.su/DOz8bl, https://goo.su/c6SpcbO, https://goo.su/gAUO, https://goo.su/ec7UUcg"
Don Pedro M,,,,,,
El Reno,,,,,,
Adonai,,,,,,
Atlantico III,,,,,,
Garota,,,,,https://goo.su/XMmnLY,https://goo.su/XMmnLY
Garota V,,,,,,
Garota II,,,,,,
Don Ricardo II,,,,,,
Mariela III,,,,,,
Esturion,,,,,,
Ernesto I,,,,,,
Ernesto II,,,,,,
Don Hugo I,,,,,,
Juan Anselmo,,,,,,
Juan Marcelo,,,,,,
Paulina M II,,,,,,
Maria Pabla,,,,,,
Abraham Antonio,,,,,,
Michele,,,,,,
Camila David,,,,,,
Halcon I,,,,,,
Don Perucho II,,,,,,
Doña Olga I,,,,,,
Jepe I,,,,,,
Master I,,,,,,
Jenifer S,,,,,,
Ricardo Jesus,,,,,,
Jennifer I,,,,,,
El Abuelo,,,,,https://goo.su/bpTT4o2,https://goo.su/bpTT4o2
Marvento,,,,,,
Raul M,,,,,,
Punta Verde I,,,,,,
BONN,7715496.0,,,cb5330,,
BIOMAR IV,7525188.0,,,cb5301,,
POLARIS II,7827744.0,,,cb6140,,
Sebastian II,,,,CA3882,,
Don Emilio Iv,,,,CB6075,,
Yagan,,Panama,,HO4433,https://goo.su/99QsCIK,https://goo.su/99QsCIK
Azariel,,,,CA2054,,
Antares V,,,,CB4270,,
Don Valentin,,,,CB5277,,
Rimalfredan II,,,,,,
Alexander II,,,,,,
Garota Iv,,,,CA5832,,
Glaciar I,,,,CB4377,,
Huracan I,,,,2358,,
Pehuenche,,,,CA3815,,
Venus,9718296.0,,,TFVT,"https://goo.su/3G6UNv, https://goo.su/yKCG","https://goo.su/3G6UNv, https://goo.su/yKCG"
Ana Luisa,,,,CB5395,,
Achernar,,,,CB4068,,
La Consuelito,,,,CA951,,
Pancho Malo,,,,,,
Juanita,,United States,,,,
Angelina,8821022.0,,,MLEY5,,
Falcon,7395521.0,,,YYCL,,
Lauca,,,,CA3610,,
